id,host_id,host_response_rate,host_is_superhost,neighbourhood,property_type,room_type,accommodates,guests_included,bathrooms,bedrooms,beds,price,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,description_score
6847052,26378802,88.0,1.0,West Seattle,House,Private room,2,1,1.0,1.0,1.0,101.0,8,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0.940923452
1538865,8204725,100.0,0.0,West Seattle,House,Entire home/apt,3,1,1.0,2.0,2.0,90.0,16,96.0,10.0,9.0,10.0,10.0,10.0,10.0,0.82976836
3061918,15566972,100.0,0.0,West Seattle,House,Private room,2,1,1.0,1.0,2.0,90.0,20,96.0,10.0,10.0,10.0,10.0,9.0,9.0,0.966085196
7773851,983759,100.0,0.0,West Seattle,House,Entire home/apt,4,1,1.0,2.0,2.0,185.0,2,80.0,10.0,10.0,10.0,10.0,10.0,8.0,0.798943162
2536507,5570855,100.0,0.0,West Seattle,Apartment,Entire home/apt,2,0,1.0,0.0,1.0,99.0,105,98.0,10.0,10.0,10.0,10.0,10.0,9.0,0.919041157
8409773,44299760,94.88679817905918,0.0,West Seattle,Condominium,Entire home/apt,2,1,1.0,1.0,1.0,99.0,0,96.0,10.0,10.0,10.0,10.0,10.0,10.0,0.998910427
7131797,37349992,100.0,1.0,West Seattle,House,Entire home/apt,3,2,1.0,1.0,1.0,89.0,15,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0.9727047679999999
10331249,534587,100.0,0.0,West Seattle,House,Private room,1,1,1.0,1.0,1.0,45.0,0,96.0,10.0,10.0,10.0,10.0,10.0,10.0,0.5
9883943,28943976,100.0,0.0,West Seattle,House,Private room,6,2,1.5,1.0,3.0,130.0,0,96.0,10.0,10.0,10.0,10.0,10.0,10.0,0.985783815
6956938,5091410,100.0,1.0,West Seattle,House,Private room,2,2,1.0,1.0,1.0,90.0,23,96.0,10.0,10.0,9.0,10.0,10.0,10.0,0.9887881279999999
7869223,12967352,100.0,0.0,West Seattle,House,Entire home/apt,4,1,2.0,2.0,2.0,200.0,1,100.0,8.0,10.0,10.0,10.0,10.0,10.0,0.9803408379999999
7278583,34656171,100.0,0.0,West Seattle,House,Entire home/apt,7,1,2.5,3.0,4.0,225.0,2,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0.962131381
6796246,5091410,100.0,1.0,West Seattle,House,Entire home/apt,2,2,1.0,0.0,1.0,90.0,34,95.0,10.0,10.0,10.0,10.0,10.0,9.0,0.993371964
6515046,2942022,100.0,0.0,West Seattle,Apartment,Private room,2,1,1.0,1.0,1.0,79.0,25,90.0,10.0,10.0,10.0,9.0,10.0,9.0,0.971193552
8538420,43798906,100.0,0.0,West Seattle,Apartment,Entire home/apt,4,1,1.0,1.0,2.0,100.0,10,98.0,10.0,10.0,10.0,10.0,10.0,10.0,0.97997129
7800143,41055891,90.0,0.0,West Seattle,House,Entire home/apt,6,1,2.0,4.0,5.0,225.0,10,94.0,9.0,9.0,10.0,10.0,10.0,10.0,0.828726768
7651602,26378802,88.0,1.0,West Seattle,Bed & Breakfast,Private room,2,2,1.5,1.0,1.0,299.0,0,96.0,10.0,10.0,10.0,10.0,10.0,10.0,0.5
461567,2294267,100.0,0.0,Other neighborhoods,Bed & Breakfast,Entire home/apt,3,2,1.0,1.0,2.0,70.0,117,94.0,9.0,10.0,10.0,10.0,9.0,9.0,0.5
9736940,50236885,78.0,0.0,Other neighborhoods,Townhouse,Private room,2,1,1.5,1.0,1.0,28.0,3,100.0,10.0,10.0,8.0,8.0,8.0,10.0,0.94318074
210316,2438665,100.0,0.0,Other neighborhoods,Bed & Breakfast,Private room,2,2,4.5,1.0,4.0,65.0,22,91.0,9.0,9.0,10.0,10.0,9.0,9.0,0.97890234
4581124,15315685,90.0,1.0,Other neighborhoods,House,Private room,2,1,1.0,1.0,1.0,69.0,17,95.0,9.0,9.0,10.0,10.0,9.0,10.0,0.961220622
6403104,18478539,100.0,0.0,Other neighborhoods,House,Private room,2,1,1.0,1.0,1.0,41.0,3,100.0,10.0,10.0,10.0,10.0,9.0,10.0,0.5
7071331,1918676,88.0,0.0,Other neighborhoods,House,Private room,2,2,1.0,1.0,1.0,42.0,22,90.0,10.0,9.0,10.0,10.0,9.0,9.0,0.9942183490000001
3883137,6933188,100.0,0.0,Other neighborhoods,House,Entire home/apt,6,4,1.0,1.0,3.0,100.0,80,96.0,10.0,10.0,10.0,10.0,9.0,10.0,0.874590158
9858690,9600245,94.88679817905918,0.0,Other neighborhoods,House,Private room,2,1,1.0,1.0,1.0,100.0,0,96.0,10.0,10.0,10.0,10.0,10.0,10.0,0.869189322
